sample_id	raw_file_name	quant_type	source_column	plate	well	replicate_letter	ip_name	bait_name	condition	is_control	replicate_group	keep	notes
b14432	b14432.raw	Intensity	Intensity b14432	81033PEI	C01	B	b14432	OTUD3	81033PEI	N	OTUD3__81033PEI	Y	auto_filled_from_archiveSummary
b14435	b14435.raw	Intensity	Intensity b14435	81033PEI	B12	B	b14435	IL20	81033PEI	N	IL20__81033PEI	Y	auto_filled_from_archiveSummary
b14437	b14437.raw	Intensity	Intensity b14437	81033PEI	B10	B	b14437	CST5	81033PEI	N	CST5__81033PEI	Y	auto_filled_from_archiveSummary
b14438	b14438.raw	Intensity	Intensity b14438	81033PEI	B09	B	b14438	FGFR1OP2	81033PEI	N	FGFR1OP2__81033PEI	Y	auto_filled_from_archiveSummary
b14439	b14439.raw	Intensity	Intensity b14439	81033PEI	B08	B	b14439	MTRF1	81033PEI	N	MTRF1__81033PEI	Y	auto_filled_from_archiveSummary
b14440	b14440.raw	Intensity	Intensity b14440	81033PEI	B07	B	b14440	HBXIP	81033PEI	N	HBXIP__81033PEI	Y	auto_filled_from_archiveSummary
b14441	b14441.raw	Intensity	Intensity b14441	81033PEI	B05	B	b14441	NINJ2	81033PEI	N	NINJ2__81033PEI	Y	auto_filled_from_archiveSummary
b14444	b14444.raw	Intensity	Intensity b14444	81033PEI	B02	B	b14444	C2orf73	81033PEI	N	C2orf73__81033PEI	Y	auto_filled_from_archiveSummary
b14445	b14445.raw	Intensity	Intensity b14445	81033PEI	B01	B	b14445	IRGM	81033PEI	N	IRGM__81033PEI	Y	auto_filled_from_archiveSummary
b14446	b14446.raw	Intensity	Intensity b14446	81033PEI	A12	B	b14446	MYH7B	81033PEI	N	MYH7B__81033PEI	Y	auto_filled_from_archiveSummary
b14447	b14447.raw	Intensity	Intensity b14447	81033PEI	A11	B	b14447	LMO1	81033PEI	N	LMO1__81033PEI	Y	auto_filled_from_archiveSummary
b14448	b14448.raw	Intensity	Intensity b14448	81033PEI	A10	B	b14448	CST8	81033PEI	N	CST8__81033PEI	Y	auto_filled_from_archiveSummary
b14450	b14450.raw	Intensity	Intensity b14450	81033PEI	A08	B	b14450	STAG3L4	81033PEI	N	STAG3L4__81033PEI	Y	auto_filled_from_archiveSummary
b14451	b14451.raw	Intensity	Intensity b14451	81033PEI	A07	B	b14451	CDKN3	81033PEI	N	CDKN3__81033PEI	Y	auto_filled_from_archiveSummary
b14453	b14453.raw	Intensity	Intensity b14453	81033PEI	A05	B	b14453	SPCS3	81033PEI	N	SPCS3__81033PEI	Y	auto_filled_from_archiveSummary
b14454	b14454.raw	Intensity	Intensity b14454	81033PEI	A04	B	b14454	IQCF2	81033PEI	N	IQCF2__81033PEI	Y	auto_filled_from_archiveSummary
b14455	b14455.raw	Intensity	Intensity b14455	81033PEI	A03	B	b14455	SSBP1	81033PEI	N	SSBP1__81033PEI	Y	auto_filled_from_archiveSummary
b14456	b14456.raw	Intensity	Intensity b14456	81033PEI	A02	B	b14456	FAM9C	81033PEI	N	FAM9C__81033PEI	Y	auto_filled_from_archiveSummary
b14457	b14457.raw	Intensity	Intensity b14457	81033PEI	A01	B	b14457	C1orf146	81033PEI	N	C1orf146__81033PEI	Y	auto_filled_from_archiveSummary
b14461	b14461.raw	Intensity	Intensity b14461	81033PEI	G11	B	b14461	CRYAA	81033PEI	N	CRYAA__81033PEI	Y	auto_filled_from_archiveSummary
