j14272	NBR2
j14277	NOP10
j14280	MRPL33
j14281	C5orf13
j14282	TAC4
j14283	DEFB106A
j14285	MTCP1NB
j14294	UQCR10
j14295	ATOX1
j14871	KLHL11
j14872	ECEL1
j14873	ZMYND8
j14874	TLR10
j14875	PCDHGA6
j14876	AXIN2
j14878	VEZT
j14880	PCDHB3
j14881	RGL1
j14884	ABTB2
j14885	DNM2
j14889	DDHD1
j14890	TRPC3
j14891	KIF7
j14893	PCDHA8
j14894	TMEM63C
j14895	CASD1
j14896	TRPV3
j14897	CPSF2
j14898	ZNF280C
j14907	KIAA1274
j14908	TRIM6-TRIM34
j14909	SEMA4C
j14910	DLG3
j14911	PCDHA11
j14912	ANKRD56
j14913	SYNPO2L
j14914	SEMA3E
j14915	PLG
j14916	TXNDC16
j14917	SLC9A5
j15092	EIF2C1
j15093	RBM25
j15094	ACAP3
j15095	PCDHGA7
j15096	DPP6
j15097	BRD4
j15098	TBC1D2B
j15100	NPAS2
j15101	TFR2
j15102	TLR1
j15105	ANKLE2
j15106	BICD2
j15107	DISC1
j15109	GPAT2
j15111	MATN2
j15115	SPON1
j15116	PIPSL
j15120	BRD4
j15121	PCDHGA7
j15122	ACAP3
j15150	PHF14
j15151	SPON1
j18265	C19orf66
j19865	KRT39
j3706	PSRC1
j3709	MAB21L3
j3710	RIC3
j3711	INHA
j3712	USP46
j3713	ZDHHC9
j3714	LMX1B
j3740	VSX1
j3741	NHLRC2
j3742	POLE
j3754	FKSG43
j3755	CDCA7
j3756	NXF5
j3759	RAE1
j3771	CXCR7
j3772	TSSK1B
j3775	POPDC2
j4184	CNN1
j4185	NOSIP
j4186	SETD3
j4190	ZNF277
j4191	POPDC3
j4192	CCDC146
j4193	WDR92
j4194	RASSF6
j4195	ITGA4
j4210	GK5
j4212	LDB3
j4213	GGPS1
j4215	HNMT
j4216	C19orf46
j4217	DHRS2
j4223	ODF3L1
j4224	CLN8
j4226	GTDC1
j4227	CXorf21
j4228	FBXO25
j4229	TBC1D3F
j4234	PPAP2A
j4235	KIAA0247
j4236	F3
j4237	COLEC10
j4238	SGCD
j4240	XRCC2
j4241	EDA2R
j4242	EXOSC8
j4246	STX5
j4248	CNOT7
j4251	SNAI3
j4252	NIT2
j4255	C7orf46
j4266	FAM175A
j4269	RAB40AL
j4270	IYD
j4271	CCNE2
j4273	EFCAB4A
j4274	SYNE2
j4278	CCDC121
j4279	AMMECR1
j4280	CAPZA2
j4283	FBXO6
j4284	C15orf29
j4285	STARD10
j4286	CTSZ
j4294	CEBPE
j4295	CSGALNACT1
j4297	SPATS1
j4298	PTCRA
j4299	TNFSF13B
j4301	RPRD1A
j4303	TRAPPC10
j4304	VDAC2
j4314	ZC3H8
j4315	MRPL46
j4316	HSD17B11
j4317	ELOVL2
j4318	GLYATL1
j6409	HMBS
j6410	PARVA
j6411	PSAT1
j6412	GABRE
j6414	AHSG
j6415	CDCA7L
j6416	MCAM
j6417	TRIM16
j6418	USP38
j6422	ZNF707
j6423	KIAA1456
j6424	SMPD1
j6425	C9orf156
j6426	CD244
j6427	NUP50
j6428	DNM3
j6429	SERPINA6
j6431	PVRL3
j6443	OBFC1
j6444	SDF4
j6445	CXADR
j6449	RBPJ
j6450	SLC39A4
j6451	KIAA1949
j6454	FBXL3
j6458	HLA-C
j6459	LIPT1
j6460	CREB3
j6461	PARD6B
j6462	RSAD2
j6463	ARHGEF10
j6464	DNAJC11
j6465	PHF15
j6467	CLEC18A
j6471	SSBP2
j6472	SLC35C1
j6473	PEX3
j6474	GPR183
j6475	VASP
j6476	C8orf45
j6477	NT5E
j6478	TEAD4
j6479	DZIP3
j6480	ADH1C
j6486	USP18
j6488	ARPC1A
j6489	IDH3A
j6490	AUP1
j6491	DLD
j6493	IGSF8
j6494	DCTN1
j6495	B3GNT3
j6496	FAM188A
j6500	GRINL1A
j6501	SDC3
j6502	TTC23L
j6503	CD19
j6504	ANKRD16
j6505	PABPC5
j6506	MYT1
j6507	PPARD
j6508	MMRN1
j6514	CD19
j6517	H2AFY2
j6518	GLUL
j6519	POGZ
j6521	PNMA2
j6522	GMPR2
j6523	LMNA
j6524	HLA-B
j6525	GPR52
j6526	PRKAR2B
j9703	DPYS
j9704	DYRK4
j9705	TNK2
j9706	CYP4F12
j9707	VANGL1
j9708	DYNC1LI1
j9709	ZNF449
j9710	POLE2
j9711	SNX1
j9712	ZNF238
j9713	ZMYND11
j9714	TBL1Y
j9718	TCP11L2
j9719	MARCO
j9721	ATP5B
j9722	NAB2
j9723	FAM98A
j9724	TMEM209
j9725	CAT
j9727	PLXNA4
j9728	FBXW11
j9729	TIGD6
j9733	CREB3L1
j9734	DCT
j9735	BAIAP2
j9736	CDC25A
j9737	DEPDC1
j9738	TULP2
j9739	ZNF572
j9740	CORO2A
j9741	CDK17
j9742	SIAE
j9743	VANGL2
j9747	CAMKK1
j9748	TBX22
j9749	GPR114
j9750	NHEDC2
j9751	PFKFB3
j9752	ZNF768
j9753	LRRTM1
j9754	APEX2
j9755	MFSD8
j9757	PNLDC1
j9761	KBTBD4
j9762	ZNF490
j9763	QRSL1
j9764	CYP4V2
j9765	ARHGEF3
j9766	ARSG
j9767	ZNF454
j9768	FBXO7
j9769	OXCT1
j9771	ALPL
j9776	USP3
j9777	UGT2A3
j9778	SLC1A1
j9784	SYNCRIP
j9788	VNN2
j9789	ALPI
j9790	OMA1
j9791	ASB3
j9792	C17orf53
j9793	CDC16
j9794	LAP3
j9795	WHSC2
j9796	FLVCR2
j9797	PDE4D
j9798	C16orf71
j9799	HEXA
j9800	GPR161
j9801	MEPE
j9802	YARS
j9804	PRPF4
j9806	MAOA
j9807	UGT3A2
j9956	CDC25A
j9957	PDZK1
j9958	ATG9A
j9959	OCLN
j9960	ACCN2
q10517	CGNL1
q10518	CGN
q10519	PPP2R3A
q10520	LLGL2
q10521	IGHMBP2
q10522	ENPEP
q10523	SLC14A2
q10524	GTF3C3
q10525	NAA15
q10526	NOP2
q10527	AGRP
q10528	THBS2
q10529	TRHDE
q10531	SART3
q10532	LRRCC1
q10533	EXOC1
q10537	LPIN3
q10539	MARCH6
q10540	ZCCHC14
q10541	EPHA1
q10542	PPFIBP1
q10543	DAB2IP
q10544	ATF7IP
q10545	TBC1D9
q10546	CPD
q10547	RNF43
q10550	TRPC5
q10551	PTPRU
q10552	TECPR2
q10553	PTPN14
q10554	RANBP6
q10558	PHF20
q10559	BMP1
q10560	PCDHA9
q10561	CHSY3
q10562	TLR5
q10567	RNF43
q10568	CPD
q10569	TBC1D9
q10570	ATF7IP
q10571	DAB2IP
q10573	EPHA1
q10574	ZCCHC14
q10575	MARCH6
q10577	LPIN3
q10654	KANK4
q10678	PCDH12
q10681	GAA
q11337	UQCR10
q11348	TAC4
q11349	C5orf13
q11353	NOP10
q11360	NDUFA1
q11363	FAM165B
q11368	GNG10
q11370	ST13
q11371	LENEP
q11372	DEFB123
q11965	ZNF280C
q11968	CASD1
q11969	TMEM63C
q11970	PCDHA8
q11972	KIF7
q11973	TRPC3
q11974	DDHD1
q11977	SYNPO2L
q11978	ANKRD56
q11979	PCDHA11
q11980	DLG3
q11981	SEMA4C
q11982	TRIM6-TRIM34
q11983	KIAA1274
q11988	RABEP1
q11989	GABBR1
q11990	MOGS
q11992	PCDHB1
q11993	PCDHGB2
q11994	DIS3
q11995	LRFN2
q11996	PDE10A
q11997	RBAK
q12001	DNM2
q12002	ABTB2
q12005	RGL1
q12006	PCDHB3
q12008	VEZT
q12010	AXIN2
q12011	PCDHGA6
q12012	TLR10
q12014	ECEL1
q12015	KLHL11
q12020	ARHGAP12
q12021	GSG2
q12022	PNPT1
q12023	PCDHGC5
q12024	GTF3C4
q12026	EPC2
q12027	RASEF
q12048	SLC9A5
q12049	TXNDC16
q12050	PLG
q12051	SEMA3E
q12052	ZMYND8
q12053	RBAK
q12054	PDE10A
q12055	CPSF2
q12056	TRPV3
q12128	PIPSL
q12133	MATN2
q12135	GPAT2
q12137	DISC1
q12138	BICD2
q12139	ANKLE2
q12142	TLR1
q12143	TFR2
q12144	NPAS2
q12146	TBC1D2B
q12148	DPP6
q12152	RBM25
q12153	EIF2C1
q12550	C1orf146
q12551	FAM9C
q12552	SSBP1
q12553	IQCF2
q12554	SPCS3
q12556	CDKN3
q12557	STAG3L4
q12559	CST8
q12560	LMO1
q12561	MYH7B
q12562	IRGM
q12563	C2orf73
q12566	NINJ2
q12567	HBXIP
q12568	MTRF1
q12569	FGFR1OP2
q12570	CST5
q12571	UCN3
q12572	IL20
q12575	OTUD3
q12577	SPRYD7
q12578	CGGBP1
q12579	MORN4
q12580	SIN3A
q12581	UBL4B
q12582	MRPL23
q12583	C6orf136
q12584	NAT8B
q12585	OMP
q12586	IL25
q12590	C9orf85
q12591	ZNHIT1
q12592	PTP4A1
q12593	EDDM3A
q12594	LEP
q12595	TNFSF18
q12626	MECOM
q12627	LAIR2
q12631	PID1
q12632	NDUFAF4
q12634	C19orf66
q12647	MS4A6E
q12648	C4orf39
q12649	LAGE3
q12650	CXorf40A
q12652	UPP1
q12653	EMP3
q12659	HINT2
q12660	IL7
q12664	C9orf23
q12665	RGS5
q12666	CRYAA
q12780	CALCA
q12788	AVPI1
q12796	UCN3
q12796b	TWIST2
q12797	IL25
q12798	NAT8B
q12799	EDDM3A
q12800b	CXorf40A
q12801	PID1
q12802	MECOM
q16269	FOLR3
q16271	CLCA1
q16272	HSF4
q16273	IGFBPL1
q16274	ESCO2
q16275	FAM150B
q16276	SEZ6L
q16277	SNRPD3
q16278	UBE2L3
q16281	CAPN12
q16282	PREX2
q16283	DEFB112
q16284	SPANXN2
q16285	DEFB109
q16288	SLC5A1
q16292	CARD16
q16293	STRA8
q16294	SHOX
q16296	PICK1
q16297	SREBF2
q16311	TAS1R2
q16312	GJA10
q16314	PROL1
q16315	GUCA2A
q16317	SLC5A4
q16318	CDCP2
q16320	YWHAH
q16323	XKRY2
q16324	HOXA7
q16326	GPR151
q16327	AWAT2
q16328	SPRR2D
q16329	ENPP3
q16330	TST
q16331	AP1B1
q16332	PLA2G6
q16382	GALP
q16383	B3GNT7
q16384	OR4E2
q16386	UGT1A5
q16387	VPS9D1
q16388	OR4N2
q16393	NLRP5
q16395	SPINK14
q16396	SSX7
q16397	MYEOV2
q16398	CUX2
q16405	LIFR
q16406	CNGA1
q16408	RFPL1
