oldName	newName	info	oldFileSize	newFileSize	fileExists	fileCopied
j11773_81129_C06_B_00129_071714_17948.raw	j11773.raw	"Bait:PARP12 (81129, C06)"	225671230	225671230	1	1
b10683_81129_D06_A_00129_071614_17912.raw	b10683.raw	"Bait:PCCA (81129, D06)"	187364180	187364180	1	1
q9038_81129_D06_B_00129_071714_17959.raw	q9038.raw	"Bait:PCCA (81129, D06)"	177760418	177760418	1	1
j11795_81129_F03_A_00129_071814_17998.raw	j11795.raw	"Bait:PHACTR2 (81129, F03)"	203007019	203007019	1	1
b10770_81129_F03_B_00129_072014_18111.raw	b10770.raw	"Bait:PHACTR2 (81129, F03)"	179661594	179661594	1	1
b10763_81129_F12_B_00129_072014_18092.raw	b10763.raw	"Bait:PHEX (81129, F10)"	191979545	191979545	1	1
q9665_81129_F12_C_00129_082214_19441.raw	q9665.raw	"Bait:PHEX (81129, F10)"	147725420	147725420	1	1
j11748_81129_A09_A_00129_071614_17839.raw	j11748.raw	"Bait:PLOD1 (81129, A09)"	221838503	221838503	1	1
b10694_81129_A09_B_00129_071714_17939.raw	b10694.raw	"Bait:PLOD1 (81129, A09)"	206786131	206786131	1	1
b10731_81129_H11_A_00129_071814_18029.raw	b10731.raw	"Bait:BRAF (81129, H11)"	182646947	182646947	1	1
q9094_81129_H11_B_00129_072014_18080.raw	q9094.raw	"Bait:BRAF (81129, H11)"	172586430	172586430	1	1
b10727_81129_H07_A_00129_071814_18019.raw	b10727.raw	"Bait:PNN (81129, H07)"	199254930	199254930	1	1
q9098_81129_H07_B_00129_072014_18089.raw	q9098.raw	"Bait:PNN (81129, H07)"	190269230	190269230	1	1
j11801_81129_F11_A_00129_071814_18014.raw	j11801.raw	"Bait:PPM1E (81129, F11)"	189886819	189886819	1	1
b10764_81129_F11_B_00129_072014_18094.raw	b10764.raw	"Bait:PPM1E (81129, F11)"	183780056	183780056	1	1
b10674_81129_C11_A_00129_071614_17842.raw	b10674.raw	"Bait:PTPDC1 (81129, C11)"	192174211	192174211	1	1
j11769_81129_C11_B_00129_071714_17938.raw	j11769.raw	"Bait:PTPDC1 (81129, C11)"	224328469	224328469	1	1
j11743_81129_A04_A_00129_071614_17750.raw	j11743.raw	"Bait:RAB11FIP1 (81129, A04)"	211169041	211169041	1	1
b10699_81129_A04_B_00129_071714_17951.raw	b10699.raw	"Bait:RAB11FIP1 (81129, A04)"	189908208	189908208	1	1
b10681_81129_D04_A_00129_071614_17857.raw	b10681.raw	"Bait:RASGRP4 (81129, D04)"	198848649	198848649	1	1
b11487_81129_D04_C_00129_082614_19507.raw	b11487.raw	"Bait:RASGRP4 (81129, D04)"	198020926	198020926	1	1
j11762_81129_B09_A_00129_071614_17921.raw	j11762.raw	"Bait:RFWD2 (81129, B09)"	208037729	208037729	1	1
b10710_81129_B09_B_00129_071814_17975.raw	b10710.raw	"Bait:RFWD2 (81129, B09)"	196154662	196154662	1	1
b10666_81129_C01_A_00129_071614_17746.raw	b10666.raw	"Bait:SAMD15 (81129, C01)"	200228674	200228674	1	1
q9658_81129_C01_C_00129_082214_19432.raw	q9658.raw	"Bait:SAMD15 (81129, C01)"	153119989	153119989	1	1
b10688_81129_D12_A_00129_071614_17925.raw	b10688.raw	"Bait:C14orf37 (81129, D12)"	202730525	202730525	1	1
q9033_81129_D12_B_00129_071714_17943.raw	q9033.raw	"Bait:C14orf37 (81129, D12)"	211010006	211010006	1	1
j11796_81129_F04_A_00129_071814_18001.raw	j11796.raw	"Bait:SEMA7A (81129, F04)"	181839502	181839502	1	1
b10769_81129_F04_B_00129_072014_18107.raw	b10769.raw	"Bait:SEMA7A (81129, F04)"	198956885	198956885	1	1
b10772_81129_F01_B_00129_072014_18116.raw	b10772.raw	"Bait:SEMG2 (81129, F01)"	199184975	199184975	1	1
q9662_81129_F01_C_00129_082214_19438.raw	q9662.raw	"Bait:SEMG2 (81129, F01)"	150316471	150316471	1	1
b10726_81129_H06_A_00129_071814_18018.raw	b10726.raw	"Bait:SFPQ (81129, H06)"	191168484	191168484	1	1
q9099_81129_H06_B_00129_072014_18090.raw	q9099.raw	"Bait:SFPQ (81129, H06)"	173014433	173014433	1	1
j11745_81129_A06_A_00129_071614_17757.raw	j11745.raw	"Bait:SIGLEC10 (81129, A06)"	205267927	205267927	1	1
b10697_81129_A06_B_00129_071714_17946.raw	b10697.raw	"Bait:SIGLEC10 (81129, A06)"	186486833	186486833	1	1
j11740_81129_A01_A_00129_071614_17743.raw	j11740.raw	"Bait:SLC13A5 (81129, A01)"	207362453	207362453	1	1
b10702_81129_A01_B_00129_071714_17961.raw	b10702.raw	"Bait:SLC13A5 (81129, A01)"	196313318	196313318	1	1
j11786_81129_E05_A_00129_071814_17974.raw	j11786.raw	"Bait:SLC34A2 (81129, E05)"	202708634	202708634	1	1
q9087_81129_E05_B_00129_072014_18069.raw	q9087.raw	"Bait:SLC34A2 (81129, E05)"	174493763	174493763	1	1
j11807_81129_G03_A_00129_071814_18028.raw	j11807.raw	"Bait:SLC5A5 (81129, G03)"	206502966	206502966	1	1
b10758_81129_G03_B_00129_072014_18084.raw	b10758.raw	"Bait:SLC5A5 (81129, G03)"	186452591	186452591	1	1
b10730_81129_H10_A_00129_071814_18027.raw	b10730.raw	"Bait:C2 (81129, H10)"	188818784	188818784	1	1
q9095_81129_H10_B_00129_072014_18083.raw	q9095.raw	"Bait:C2 (81129, H10)"	176398369	176398369	1	1
j11744_81129_A05_A_00129_071614_17754.raw	j11744.raw	"Bait:SLC5A9 (81129, A05)"	221039150	221039150	1	1
b10698_81129_A05_B_00129_071714_17949.raw	b10698.raw	"Bait:SLC5A9 (81129, A05)"	198273850	198273850	1	1
