sample_id	raw_file_name	quant_type	source_column	bait_name	condition	is_control	replicate_group	keep	notes
b18303	b18303.raw	Intensity	Intensity b18303					Y	
b18304	b18304.raw	Intensity	Intensity b18304					Y	
b18305	b18305.raw	Intensity	Intensity b18305					Y	
b18306	b18306.raw	Intensity	Intensity b18306					Y	
b18309	b18309.raw	Intensity	Intensity b18309					Y	
b18310	b18310.raw	Intensity	Intensity b18310					Y	
b18311	b18311.raw	Intensity	Intensity b18311					Y	
b18312	b18312.raw	Intensity	Intensity b18312					Y	
b18313	b18313.raw	Intensity	Intensity b18313					Y	
b18314	b18314.raw	Intensity	Intensity b18314					Y	
b18315	b18315.raw	Intensity	Intensity b18315					Y	
b18317	b18317.raw	Intensity	Intensity b18317					Y	
b18319	b18319.raw	Intensity	Intensity b18319					Y	
b18369	b18369.raw	Intensity	Intensity b18369					Y	
b18370	b18370.raw	Intensity	Intensity b18370					Y	
b18371	b18371.raw	Intensity	Intensity b18371					Y	
b18372	b18372.raw	Intensity	Intensity b18372					Y	
b18373	b18373.raw	Intensity	Intensity b18373					Y	
b18374	b18374.raw	Intensity	Intensity b18374					Y	
b18375	b18375.raw	Intensity	Intensity b18375					Y	
b18377	b18377.raw	Intensity	Intensity b18377					Y	
b18378	b18378.raw	Intensity	Intensity b18378					Y	
b18381	b18381.raw	Intensity	Intensity b18381					Y	
b18383	b18383.raw	Intensity	Intensity b18383					Y	
b18384	b18384.raw	Intensity	Intensity b18384					Y	
b18386	b18386.raw	Intensity	Intensity b18386					Y	
b18387	b18387.raw	Intensity	Intensity b18387					Y	
b18389	b18389.raw	Intensity	Intensity b18389					Y	
b18390	b18390.raw	Intensity	Intensity b18390					Y	
b18394	b18394.raw	Intensity	Intensity b18394					Y	
b18396	b18396.raw	Intensity	Intensity b18396					Y	
b18397	b18397.raw	Intensity	Intensity b18397					Y	
b18404	b18404.raw	Intensity	Intensity b18404					Y	
b18405	b18405.raw	Intensity	Intensity b18405					Y	
b18406	b18406.raw	Intensity	Intensity b18406					Y	
b18407	b18407.raw	Intensity	Intensity b18407					Y	
b18409	b18409.raw	Intensity	Intensity b18409					Y	
b18414	b18414.raw	Intensity	Intensity b18414					Y	
b18415	b18415.raw	Intensity	Intensity b18415					Y	
b18416	b18416.raw	Intensity	Intensity b18416					Y	
b18418	b18418.raw	Intensity	Intensity b18418					Y	
b18419	b18419.raw	Intensity	Intensity b18419					Y	
b18420	b18420.raw	Intensity	Intensity b18420					Y	
b18564	b18564.raw	Intensity	Intensity b18564					Y	
b18565	b18565.raw	Intensity	Intensity b18565					Y	
b18566	b18566.raw	Intensity	Intensity b18566					Y	
b18567	b18567.raw	Intensity	Intensity b18567					Y	
b18568	b18568.raw	Intensity	Intensity b18568					Y	
b18576	b18576.raw	Intensity	Intensity b18576					Y	
b18577	b18577.raw	Intensity	Intensity b18577					Y	
b18578	b18578.raw	Intensity	Intensity b18578					Y	
b18595	b18595.raw	Intensity	Intensity b18595					Y	
b18596	b18596.raw	Intensity	Intensity b18596					Y	
b18597	b18597.raw	Intensity	Intensity b18597					Y	
b18598	b18598.raw	Intensity	Intensity b18598					Y	
b18600	b18600.raw	Intensity	Intensity b18600					Y	
b18601	b18601.raw	Intensity	Intensity b18601					Y	
b18640	b18640.raw	Intensity	Intensity b18640					Y	
b18641	b18641.raw	Intensity	Intensity b18641					Y	
b18642	b18642.raw	Intensity	Intensity b18642					Y	
b18643	b18643.raw	Intensity	Intensity b18643					Y	
b18644	b18644.raw	Intensity	Intensity b18644					Y	
b18645	b18645.raw	Intensity	Intensity b18645					Y	
b18647	b18647.raw	Intensity	Intensity b18647					Y	
b18649	b18649.raw	Intensity	Intensity b18649					Y	
b18652	b18652.raw	Intensity	Intensity b18652					Y	
b18653	b18653.raw	Intensity	Intensity b18653					Y	
b18654	b18654.raw	Intensity	Intensity b18654					Y	
b18655	b18655.raw	Intensity	Intensity b18655					Y	
b18656	b18656.raw	Intensity	Intensity b18656					Y	
b18657	b18657.raw	Intensity	Intensity b18657					Y	
b18658	b18658.raw	Intensity	Intensity b18658					Y	
b18659	b18659.raw	Intensity	Intensity b18659					Y	
b18660	b18660.raw	Intensity	Intensity b18660					Y	
b18662	b18662.raw	Intensity	Intensity b18662					Y	
b18665	b18665.raw	Intensity	Intensity b18665					Y	
b18666	b18666.raw	Intensity	Intensity b18666					Y	
b18671	b18671.raw	Intensity	Intensity b18671					Y	
b18672	b18672.raw	Intensity	Intensity b18672					Y	
b18673	b18673.raw	Intensity	Intensity b18673					Y	
b18674	b18674.raw	Intensity	Intensity b18674					Y	
b18675	b18675.raw	Intensity	Intensity b18675					Y	
b18676	b18676.raw	Intensity	Intensity b18676					Y	
b18677	b18677.raw	Intensity	Intensity b18677					Y	
b18678	b18678.raw	Intensity	Intensity b18678					Y	
b18696	b18696.raw	Intensity	Intensity b18696					Y	
B20854	B20854.raw	Intensity	Intensity B20854					Y	
B20855	B20855.raw	Intensity	Intensity B20855					Y	
B20857	B20857.raw	Intensity	Intensity B20857					Y	
B20859	B20859.raw	Intensity	Intensity B20859					Y	
B20860	B20860.raw	Intensity	Intensity B20860					Y	
B20861	B20861.raw	Intensity	Intensity B20861					Y	
B20862	B20862.raw	Intensity	Intensity B20862					Y	
B20865	B20865.raw	Intensity	Intensity B20865					Y	
B20866	B20866.raw	Intensity	Intensity B20866					Y	
B20869	B20869.raw	Intensity	Intensity B20869					Y	
B20870	B20870.raw	Intensity	Intensity B20870					Y	
B20871	B20871.raw	Intensity	Intensity B20871					Y	
B20872	B20872.raw	Intensity	Intensity B20872					Y	
B20875	B20875.raw	Intensity	Intensity B20875					Y	
B20876	B20876.raw	Intensity	Intensity B20876					Y	
B20877	B20877.raw	Intensity	Intensity B20877					Y	
B20879	B20879.raw	Intensity	Intensity B20879					Y	
B20881	B20881.raw	Intensity	Intensity B20881					Y	
B20882	B20882.raw	Intensity	Intensity B20882					Y	
B20883	B20883.raw	Intensity	Intensity B20883					Y	
B20885	B20885.raw	Intensity	Intensity B20885					Y	
B20888	B20888.raw	Intensity	Intensity B20888					Y	
B20889	B20889.raw	Intensity	Intensity B20889					Y	
B20890	B20890.raw	Intensity	Intensity B20890					Y	
B20892	B20892.raw	Intensity	Intensity B20892					Y	
B20893	B20893.raw	Intensity	Intensity B20893					Y	
B20894	B20894.raw	Intensity	Intensity B20894					Y	
B20896	B20896.raw	Intensity	Intensity B20896					Y	
B20897	B20897.raw	Intensity	Intensity B20897					Y	
B20898	B20898.raw	Intensity	Intensity B20898					Y	
B20903	B20903.raw	Intensity	Intensity B20903					Y	
B20904	B20904.raw	Intensity	Intensity B20904					Y	
B20905	B20905.raw	Intensity	Intensity B20905					Y	
B20906	B20906.raw	Intensity	Intensity B20906					Y	
B20907	B20907.raw	Intensity	Intensity B20907					Y	
B20908	B20908.raw	Intensity	Intensity B20908					Y	
B20909	B20909.raw	Intensity	Intensity B20909					Y	
B20911	B20911.raw	Intensity	Intensity B20911					Y	
B20913	B20913.raw	Intensity	Intensity B20913					Y	
B20915	B20915.raw	Intensity	Intensity B20915					Y	
B20916	B20916.raw	Intensity	Intensity B20916					Y	
B20917	B20917.raw	Intensity	Intensity B20917					Y	
B20918	B20918.raw	Intensity	Intensity B20918					Y	
B20920	B20920.raw	Intensity	Intensity B20920					Y	
B20922	B20922.raw	Intensity	Intensity B20922					Y	
B20924	B20924.raw	Intensity	Intensity B20924					Y	
B20925	B20925.raw	Intensity	Intensity B20925					Y	
B20926	B20926.raw	Intensity	Intensity B20926					Y	
B20930	B20930.raw	Intensity	Intensity B20930					Y	
B20931	B20931.raw	Intensity	Intensity B20931					Y	
b3139	b3139.raw	Intensity	Intensity b3139					Y	
b3140	b3140.raw	Intensity	Intensity b3140					Y	
b3141	b3141.raw	Intensity	Intensity b3141					Y	
b3142	b3142.raw	Intensity	Intensity b3142					Y	
b3143	b3143.raw	Intensity	Intensity b3143					Y	
b3144	b3144.raw	Intensity	Intensity b3144					Y	
b3147	b3147.raw	Intensity	Intensity b3147					Y	
b3154	b3154.raw	Intensity	Intensity b3154					Y	
b3157	b3157.raw	Intensity	Intensity b3157					Y	
b3158	b3158.raw	Intensity	Intensity b3158					Y	
b3165	b3165.raw	Intensity	Intensity b3165					Y	
b3168	b3168.raw	Intensity	Intensity b3168					Y	
b3169	b3169.raw	Intensity	Intensity b3169					Y	
b3170	b3170.raw	Intensity	Intensity b3170					Y	
b3194	b3194.raw	Intensity	Intensity b3194					Y	
b3197	b3197.raw	Intensity	Intensity b3197					Y	
b3200	b3200.raw	Intensity	Intensity b3200					Y	
b3201	b3201.raw	Intensity	Intensity b3201					Y	
b3207	b3207.raw	Intensity	Intensity b3207					Y	
b3208	b3208.raw	Intensity	Intensity b3208					Y	
b3212	b3212.raw	Intensity	Intensity b3212					Y	
b3532	b3532.raw	Intensity	Intensity b3532					Y	
b3535	b3535.raw	Intensity	Intensity b3535					Y	
b3536	b3536.raw	Intensity	Intensity b3536					Y	
b3539	b3539.raw	Intensity	Intensity b3539					Y	
b3541	b3541.raw	Intensity	Intensity b3541					Y	
b3563	b3563.raw	Intensity	Intensity b3563					Y	
b3564	b3564.raw	Intensity	Intensity b3564					Y	
b3566	b3566.raw	Intensity	Intensity b3566					Y	
b3568	b3568.raw	Intensity	Intensity b3568					Y	
b3569	b3569.raw	Intensity	Intensity b3569					Y	
b3570	b3570.raw	Intensity	Intensity b3570					Y	
b3572	b3572.raw	Intensity	Intensity b3572					Y	
b3573	b3573.raw	Intensity	Intensity b3573					Y	
b3579	b3579.raw	Intensity	Intensity b3579					Y	
b3580	b3580.raw	Intensity	Intensity b3580					Y	
b3581	b3581.raw	Intensity	Intensity b3581					Y	
b3582	b3582.raw	Intensity	Intensity b3582					Y	
b3585	b3585.raw	Intensity	Intensity b3585					Y	
b3586	b3586.raw	Intensity	Intensity b3586					Y	
b3587	b3587.raw	Intensity	Intensity b3587					Y	
b3591	b3591.raw	Intensity	Intensity b3591					Y	
b3592	b3592.raw	Intensity	Intensity b3592					Y	
b3594	b3594.raw	Intensity	Intensity b3594					Y	
b3595	b3595.raw	Intensity	Intensity b3595					Y	
b3596	b3596.raw	Intensity	Intensity b3596					Y	
b3599	b3599.raw	Intensity	Intensity b3599					Y	
b3604	b3604.raw	Intensity	Intensity b3604					Y	
b3605	b3605.raw	Intensity	Intensity b3605					Y	
b3606	b3606.raw	Intensity	Intensity b3606					Y	
b3607	b3607.raw	Intensity	Intensity b3607					Y	
b3608	b3608.raw	Intensity	Intensity b3608					Y	
b3609	b3609.raw	Intensity	Intensity b3609					Y	
b3613	b3613.raw	Intensity	Intensity b3613					Y	
b3614	b3614.raw	Intensity	Intensity b3614					Y	
b3615	b3615.raw	Intensity	Intensity b3615					Y	
b3624	b3624.raw	Intensity	Intensity b3624					Y	
