sample_id	raw_file_name	quant_type	source_column	bait_name	condition	is_control	replicate_group	keep	notes
b14445	b14445.raw	Intensity	Intensity b14445	IRGM	81033PEI	N	IRGM__81033PEI	Y	platewell=B01; replicate=B
b14446	b14446.raw	Intensity	Intensity b14446	MYH7B	81033PEI	N	MYH7B__81033PEI	Y	platewell=A12; replicate=B
b14447	b14447.raw	Intensity	Intensity b14447	LMO1	81033PEI	N	LMO1__81033PEI	Y	platewell=A11; replicate=B
b14448	b14448.raw	Intensity	Intensity b14448	CST8	81033PEI	N	CST8__81033PEI	Y	platewell=A10; replicate=B
b14450	b14450.raw	Intensity	Intensity b14450	STAG3L4	81033PEI	N	STAG3L4__81033PEI	Y	platewell=A08; replicate=B
b14451	b14451.raw	Intensity	Intensity b14451	CDKN3	81033PEI	N	CDKN3__81033PEI	Y	platewell=A07; replicate=B
b14453	b14453.raw	Intensity	Intensity b14453	SPCS3	81033PEI	N	SPCS3__81033PEI	Y	platewell=A05; replicate=B
b14454	b14454.raw	Intensity	Intensity b14454	IQCF2	81033PEI	N	IQCF2__81033PEI	Y	platewell=A04; replicate=B
b14455	b14455.raw	Intensity	Intensity b14455	SSBP1	81033PEI	N	SSBP1__81033PEI	Y	platewell=A03; replicate=B
b14456	b14456.raw	Intensity	Intensity b14456	FAM9C	81033PEI	N	FAM9C__81033PEI	Y	platewell=A02; replicate=B
b14457	b14457.raw	Intensity	Intensity b14457	C1orf146	81033PEI	N	C1orf146__81033PEI	Y	platewell=A01; replicate=B
b14461	b14461.raw	Intensity	Intensity b14461	CRYAA	81033PEI	N	CRYAA__81033PEI	Y	platewell=G11; replicate=B
b14462	b14462.raw	Intensity	Intensity b14462	RGS5	81033PEI	N	RGS5__81033PEI	Y	platewell=G09; replicate=B
b14463	b14463.raw	Intensity	Intensity b14463	C9orf23	81033PEI	N	C9orf23__81033PEI	Y	platewell=G08; replicate=B
b14467	b14467.raw	Intensity	Intensity b14467	IL7	81033PEI	N	IL7__81033PEI	Y	platewell=G04; replicate=B
