idRun	idBait	sample_id	replicate_group	replicate_letter	raw_file_name
b13360	DEFB106A	b13360	DEFB106A	C	b13360.raw
b13361	MRPL33	b13361	MRPL33	C	b13361.raw
b13364	C16orf74	b13364	C16orf74	C	b13364.raw
b13365	LENEP	b13365	LENEP	C	b13365.raw
b13367	MT2A	b13367	MT2A	C	b13367.raw
b13409	USMG5	b13409	USMG5	C	b13409.raw
b13412	COX7C	b13412	COX7C	C	b13412.raw
b13414	ATP5I	b13414	ATP5I	C	b13414.raw
b13416	RPS21	b13416	RPS21	C	b13416.raw
b13421	COX17	b13421	COX17	C	b13421.raw
b13423	LST1	b13423	LST1	C	b13423.raw
b13425	SEP15	b13425	SEP15	C	b13425.raw
b13883	LRFN2	b13883	LRFN2	A	b13883.raw
b13884	DIS3	b13884	DIS3	A	b13884.raw
b13885	PCDHGB2	b13885	PCDHGB2	A	b13885.raw
b13886	PCDHB1	b13886	PCDHB1	A	b13886.raw
b13888	MOGS	b13888	MOGS	A	b13888.raw
b13889	GABBR1	b13889	GABBR1	A	b13889.raw
b13890	RABEP1	b13890	RABEP1	A	b13890.raw
b13891	RASEF	b13891	RASEF	A	b13891.raw
b13892	EPC2	b13892	EPC2	A	b13892.raw
b13894	GTF3C4	b13894	GTF3C4	A	b13894.raw
b13895	PCDHGC5	b13895	PCDHGC5	A	b13895.raw
b13896	PNPT1	b13896	PNPT1	A	b13896.raw
b13897	GSG2	b13897	GSG2	A	b13897.raw
b13898	ARHGAP12	b13898	ARHGAP12	A	b13898.raw
b13899	PHF14	b13899	PHF14	A	b13899.raw
b14377	EMP3	b14377	EMP3	A	b14377.raw
b14378	UPP1	b14378	UPP1	A	b14378.raw
b14381	LAGE3	b14381	LAGE3	A	b14381.raw
b14382	C4orf39	b14382	C4orf39	A	b14382.raw
b14386	MS4A6E	b14386	MS4A6E	A	b14386.raw
b14391	NDUFAF4	b14391	NDUFAF4	A	b14391.raw
b14394	TWIST2	b14394	TWIST2	A	b14394.raw
b14396	LAIR2	b14396	LAIR2	A	b14396.raw
b14412	TNFSF18	b14412	TNFSF18	B	b14412.raw
b14413	LEP	b14413	LEP	B	b14413.raw
b14415	PTP4A1	b14415	PTP4A1	B	b14415.raw
b14416	ZNHIT1	b14416	ZNHIT1	B	b14416.raw
b14417	C9orf85	b14417	C9orf85	B	b14417.raw
b14422	OMP	b14422	OMP	B	b14422.raw
b14424	C6orf136	b14424	C6orf136	B	b14424.raw
b14425	MRPL23	b14425	MRPL23	B	b14425.raw
b14426	UBL4B	b14426	UBL4B	B	b14426.raw
b14427	SIN3A	b14427	SIN3A	B	b14427.raw
b14428	MORN4	b14428	MORN4	B	b14428.raw
b14429	CGGBP1	b14429	CGGBP1	B	b14429.raw
b14430	SPRYD7	b14430	SPRYD7	B	b14430.raw
b14432	OTUD3	b14432	OTUD3	B	b14432.raw
b14435	IL20	b14435	IL20	B	b14435.raw
b14437	CST5	b14437	CST5	B	b14437.raw
b14438	FGFR1OP2	b14438	FGFR1OP2	B	b14438.raw
b14439	MTRF1	b14439	MTRF1	B	b14439.raw
b14440	HBXIP	b14440	HBXIP	B	b14440.raw
b14441	NINJ2	b14441	NINJ2	B	b14441.raw
b14444	C2orf73	b14444	C2orf73	B	b14444.raw
b14445	IRGM	b14445	IRGM	B	b14445.raw
b14446	MYH7B	b14446	MYH7B	B	b14446.raw
b14447	LMO1	b14447	LMO1	B	b14447.raw
b14448	CST8	b14448	CST8	B	b14448.raw
b14450	STAG3L4	b14450	STAG3L4	B	b14450.raw
b14451	CDKN3	b14451	CDKN3	B	b14451.raw
b14453	SPCS3	b14453	SPCS3	B	b14453.raw
b14454	IQCF2	b14454	IQCF2	B	b14454.raw
b14455	SSBP1	b14455	SSBP1	B	b14455.raw
b14456	FAM9C	b14456	FAM9C	B	b14456.raw
b14457	C1orf146	b14457	C1orf146	B	b14457.raw
b14461	CRYAA	b14461	CRYAA	B	b14461.raw
b14462	RGS5	b14462	RGS5	B	b14462.raw
b14463	C9orf23	b14463	C9orf23	B	b14463.raw
b14467	IL7	b14467	IL7	B	b14467.raw
b14468	HINT2	b14468	HINT2	B	b14468.raw
b14472	AVPI1	b14472	AVPI1	A	b14472.raw
b14473	NUDT10	b14473	NUDT10	A	b14473.raw
b14475	SRSF2	b14475	SRSF2	A	b14475.raw
b14476	TTC9C	b14476	TTC9C	A	b14476.raw
b14477	MGST2	b14477	MGST2	A	b14477.raw
b14478	RNASEH2C	b14478	RNASEH2C	A	b14478.raw
b14479	CALCA	b14479	CALCA	A	b14479.raw
b14480	GIP	b14480	GIP	A	b14480.raw
b14481	DLX6	b14481	DLX6	A	b14481.raw
b14518	DLX6	b14518	DLX6	B	b14518.raw
b14519	GIP	b14519	GIP	B	b14519.raw
b14521	RNASEH2C	b14521	RNASEH2C	B	b14521.raw
b14522	MGST2	b14522	MGST2	B	b14522.raw
b14523	TTC9C	b14523	TTC9C	B	b14523.raw
b14524	SRSF2	b14524	SRSF2	B	b14524.raw
b14526	NUDT10	b14526	NUDT10	B	b14526.raw
b15935	SEP15	b15935	SEP15	D	b15935.raw
b15939	C16orf74	b15939	C16orf74	D	b15939.raw
b18290	SREBF2	b18290	SREBF2	A	b18290.raw
b18291	PICK1	b18291	PICK1	A	b18291.raw
b18293	SHOX	b18293	SHOX	A	b18293.raw
b18294	STRA8	b18294	STRA8	A	b18294.raw
b18295	CARD16	b18295	CARD16	A	b18295.raw
b18299	SLC5A1	b18299	SLC5A1	A	b18299.raw
b18302	DEFB109	b18302	DEFB109	A	b18302.raw
b18303	SPANXN2	b18303	SPANXN2	A	b18303.raw
b18304	DEFB112	b18304	DEFB112	A	b18304.raw
b18305	PREX2	b18305	PREX2	A	b18305.raw
b18306	CAPN12	b18306	CAPN12	A	b18306.raw
b18309	UBE2L3	b18309	UBE2L3	A	b18309.raw
b18310	SNRPD3	b18310	SNRPD3	A	b18310.raw
b18311	SEZ6L	b18311	SEZ6L	A	b18311.raw
b18312	FAM150B	b18312	FAM150B	A	b18312.raw
b18313	ESCO2	b18313	ESCO2	A	b18313.raw
b18314	IGFBPL1	b18314	IGFBPL1	A	b18314.raw
b18315	HSF4	b18315	HSF4	A	b18315.raw
b18317	CLCA1	b18317	CLCA1	A	b18317.raw
b18319	FOLR3	b18319	FOLR3	A	b18319.raw
b18369	PLA2G6	b18369	PLA2G6	A	b18369.raw
b18370	AP1B1	b18370	AP1B1	A	b18370.raw
b18371	TST	b18371	TST	A	b18371.raw
b18372	ENPP3	b18372	ENPP3	A	b18372.raw
b18373	SPRR2D	b18373	SPRR2D	A	b18373.raw
b18374	AWAT2	b18374	AWAT2	A	b18374.raw
b18375	GPR151	b18375	GPR151	A	b18375.raw
b18377	HOXA7	b18377	HOXA7	A	b18377.raw
b18378	XKRY2	b18378	XKRY2	A	b18378.raw
b18381	YWHAH	b18381	YWHAH	A	b18381.raw
b18383	CDCP2	b18383	CDCP2	A	b18383.raw
b18384	SLC5A4	b18384	SLC5A4	A	b18384.raw
b18386	GUCA2A	b18386	GUCA2A	A	b18386.raw
b18387	PROL1	b18387	PROL1	A	b18387.raw
b18389	GJA10	b18389	GJA10	A	b18389.raw
b18390	TAS1R2	b18390	TAS1R2	A	b18390.raw
b18394	RFPL1	b18394	RFPL1	A	b18394.raw
b18396	CNGA1	b18396	CNGA1	A	b18396.raw
b18397	LIFR	b18397	LIFR	A	b18397.raw
b18404	CUX2	b18404	CUX2	A	b18404.raw
b18405	MYEOV2	b18405	MYEOV2	A	b18405.raw
b18406	SSX7	b18406	SSX7	A	b18406.raw
b18407	SPINK14	b18407	SPINK14	A	b18407.raw
b18409	NLRP5	b18409	NLRP5	A	b18409.raw
b18414	OR4N2	b18414	OR4N2	A	b18414.raw
