sample_id	raw_file_name	plate	well	replicate_letter	ip_name	bait_name	replicate_group	keep
b12608	b12608.raw	81131	G05	D	b12608	SUGP2	SUGP2	Y
b13288	b13288.raw	81002	G10	B	b13288	RPS21	RPS21	Y
b13289	b13289.raw	81002	G08	B	b13289	C5orf62	C5orf62	Y
b13292	b13292.raw	81002	G04	B	b13292	ATP5I	ATP5I	Y
b13295	b13295.raw	81002	F12	B	b13295	OAZ1	OAZ1	Y
b13297	b13297.raw	81002	F09	B	b13297	COX7C	COX7C	Y
b13300	b13300.raw	81002	F05	B	b13300	USMG5	USMG5	Y
b13301	b13301.raw	81002	F03	B	b13301	MT2A	MT2A	Y
b13305	b13305.raw	81002	H10	B	b13305	GNG5	GNG5	Y
b13306	b13306.raw	81002	H09	B	b13306	COX17	COX17	Y
b13307	b13307.raw	81002	H08	B	b13307	SBDSP1	SBDSP1	Y
b13349	b13349.raw	81002	E09	B	b13349	NBR2	NBR2	Y
b13352	b13352.raw	81002	E04	B	b13352	RPS28	RPS28	Y
b13353	b13353.raw	81002	E03	B	b13353	POLR2L	POLR2L	Y
b13358	b13358.raw	81002	A03	C	b13358	ATOX1	ATOX1	Y
b13359	b13359.raw	81002	A11	C	b13359	MTCP1NB	MTCP1NB	Y
b13360	b13360.raw	81002	B02	C	b13360	DEFB106A	DEFB106A	Y
b13361	b13361.raw	81002	B05	C	b13361	MRPL33	MRPL33	Y
b13364	b13364.raw	81002	C01	C	b13364	C16orf74	C16orf74	Y
b13365	b13365.raw	81002	D11	C	b13365	LENEP	LENEP	Y
b13367	b13367.raw	81002	F03	C	b13367	MT2A	MT2A	Y
b13409	b13409.raw	81002	F05	C	b13409	USMG5	USMG5	Y
b13412	b13412.raw	81002	F09	C	b13412	COX7C	COX7C	Y
b13414	b13414.raw	81002	G04	C	b13414	ATP5I	ATP5I	Y
b13416	b13416.raw	81002	G10	C	b13416	RPS21	RPS21	Y
b13421	b13421.raw	81002	H09	C	b13421	COX17	COX17	Y
b13423	b13423.raw	81002	D02	C	b13423	LST1	LST1	Y
b13425	b13425.raw	81002	A07	C	b13425	SEP15	SEP15	Y
b13883	b13883.raw	81130	B03	A	b13883	LRFN2	LRFN2	Y
b13884	b13884.raw	81130	B04	A	b13884	DIS3	DIS3	Y
b13885	b13885.raw	81130	B06	A	b13885	PCDHGB2	PCDHGB2	Y
b13886	b13886.raw	81130	B07	A	b13886	PCDHB1	PCDHB1	Y
b13888	b13888.raw	81130	B09	A	b13888	MOGS	MOGS	Y
b13889	b13889.raw	81130	B10	A	b13889	GABBR1	GABBR1	Y
b13890	b13890.raw	81130	B11	A	b13890	RABEP1	RABEP1	Y
b13891	b13891.raw	81130	E01	A	b13891	RASEF	RASEF	Y
b13892	b13892.raw	81130	E02	A	b13892	EPC2	EPC2	Y
b13894	b13894.raw	81130	E07	A	b13894	GTF3C4	GTF3C4	Y
b13895	b13895.raw	81130	E11	A	b13895	PCDHGC5	PCDHGC5	Y
b13896	b13896.raw	81130	F02	A	b13896	PNPT1	PNPT1	Y
b13897	b13897.raw	81130	F04	A	b13897	GSG2	GSG2	Y
b13898	b13898.raw	81130	F09	A	b13898	ARHGAP12	ARHGAP12	Y
b13899	b13899.raw	81130	F11	A	b13899	PHF14	PHF14	Y
b14377	b14377.raw	81033PEI	E03	A	b14377	EMP3	EMP3	Y
b14378	b14378.raw	81033PEI	E04	A	b14378	UPP1	UPP1	Y
b14381	b14381.raw	81033PEI	E07	A	b14381	LAGE3	LAGE3	Y
b14382	b14382.raw	81033PEI	E08	A	b14382	C4orf39	C4orf39	Y
b14386	b14386.raw	81033PEI	E10	A	b14386	MS4A6E	MS4A6E	Y
b14391	b14391.raw	81033PEI	F04	A	b14391	NDUFAF4	NDUFAF4	Y
b14394	b14394.raw	81033PEI	F08	A	b14394	TWIST2	TWIST2	Y
b14396	b14396.raw	81033PEI	F10	A	b14396	LAIR2	LAIR2	Y
b14412	b14412.raw	81033PEI	D12	B	b14412	TNFSF18	TNFSF18	Y
b14413	b14413.raw	81033PEI	D11	B	b14413	LEP	LEP	Y
b14415	b14415.raw	81033PEI	D09	B	b14415	PTP4A1	PTP4A1	Y
b14416	b14416.raw	81033PEI	D08	B	b14416	ZNHIT1	ZNHIT1	Y
b14417	b14417.raw	81033PEI	D06	B	b14417	C9orf85	C9orf85	Y
b14422	b14422.raw	81033PEI	C11	B	b14422	OMP	OMP	Y
b14424	b14424.raw	81033PEI	C09	B	b14424	C6orf136	C6orf136	Y
b14425	b14425.raw	81033PEI	C08	B	b14425	MRPL23	MRPL23	Y
b14426	b14426.raw	81033PEI	C07	B	b14426	UBL4B	UBL4B	Y
b14427	b14427.raw	81033PEI	C06	B	b14427	SIN3A	SIN3A	Y
b14428	b14428.raw	81033PEI	C05	B	b14428	MORN4	MORN4	Y
b14429	b14429.raw	81033PEI	C04	B	b14429	CGGBP1	CGGBP1	Y
b14430	b14430.raw	81033PEI	C03	B	b14430	SPRYD7	SPRYD7	Y
b14432	b14432.raw	81033PEI	C01	B	b14432	OTUD3	OTUD3	Y
b14435	b14435.raw	81033PEI	B12	B	b14435	IL20	IL20	Y
b14437	b14437.raw	81033PEI	B10	B	b14437	CST5	CST5	Y
b14438	b14438.raw	81033PEI	B09	B	b14438	FGFR1OP2	FGFR1OP2	Y
b14439	b14439.raw	81033PEI	B08	B	b14439	MTRF1	MTRF1	Y
b14440	b14440.raw	81033PEI	B07	B	b14440	HBXIP	HBXIP	Y
b14441	b14441.raw	81033PEI	B05	B	b14441	NINJ2	NINJ2	Y
b14444	b14444.raw	81033PEI	B02	B	b14444	C2orf73	C2orf73	Y
b14445	b14445.raw	81033PEI	B01	B	b14445	IRGM	IRGM	Y
b14446	b14446.raw	81033PEI	A12	B	b14446	MYH7B	MYH7B	Y
b14447	b14447.raw	81033PEI	A11	B	b14447	LMO1	LMO1	Y
b14448	b14448.raw	81033PEI	A10	B	b14448	CST8	CST8	Y
b14450	b14450.raw	81033PEI	A08	B	b14450	STAG3L4	STAG3L4	Y
b14451	b14451.raw	81033PEI	A07	B	b14451	CDKN3	CDKN3	Y
b14453	b14453.raw	81033PEI	A05	B	b14453	SPCS3	SPCS3	Y
b14454	b14454.raw	81033PEI	A04	B	b14454	IQCF2	IQCF2	Y
b14455	b14455.raw	81033PEI	A03	B	b14455	SSBP1	SSBP1	Y
b14456	b14456.raw	81033PEI	A02	B	b14456	FAM9C	FAM9C	Y
b14457	b14457.raw	81033PEI	A01	B	b14457	C1orf146	C1orf146	Y
b14461	b14461.raw	81033PEI	G11	B	b14461	CRYAA	CRYAA	Y
b14462	b14462.raw	81033PEI	G09	B	b14462	RGS5	RGS5	Y
b14463	b14463.raw	81033PEI	G08	B	b14463	C9orf23	C9orf23	Y
b14467	b14467.raw	81033PEI	G04	B	b14467	IL7	IL7	Y
b14468	b14468.raw	81033PEI	G03	B	b14468	HINT2	HINT2	Y
b14472	b14472.raw	81033PEI	H02	A	b14472	AVPI1	AVPI1	Y
b14473	b14473.raw	81033PEI	H03	A	b14473	NUDT10	NUDT10	Y
b14475	b14475.raw	81033PEI	H05	A	b14475	SRSF2	SRSF2	Y
b14476	b14476.raw	81033PEI	H06	A	b14476	TTC9C	TTC9C	Y
b14477	b14477.raw	81033PEI	H07	A	b14477	MGST2	MGST2	Y
b14478	b14478.raw	81033PEI	H08	A	b14478	RNASEH2C	RNASEH2C	Y
b14479	b14479.raw	81033PEI	H09	A	b14479	CALCA	CALCA	Y
b14480	b14480.raw	81033PEI	H10	A	b14480	GIP	GIP	Y
b14481	b14481.raw	81033PEI	H11	A	b14481	DLX6	DLX6	Y
b14518	b14518.raw	81033PEI	H11	B	b14518	DLX6	DLX6	Y
b14519	b14519.raw	81033PEI	H10	B	b14519	GIP	GIP	Y
b14521	b14521.raw	81033PEI	H08	B	b14521	RNASEH2C	RNASEH2C	Y
b14522	b14522.raw	81033PEI	H07	B	b14522	MGST2	MGST2	Y
b14523	b14523.raw	81033PEI	H06	B	b14523	TTC9C	TTC9C	Y
b14524	b14524.raw	81033PEI	H05	B	b14524	SRSF2	SRSF2	Y
b14526	b14526.raw	81033PEI	H03	B	b14526	NUDT10	NUDT10	Y
b15935	b15935.raw	81002	A07	D	b15935	SEP15	SEP15	Y
b15939	b15939.raw	81002	C01	D	b15939	C16orf74	C16orf74	Y
b18290	b18290.raw	OC2116	A02	A	b18290	SREBF2	SREBF2	Y
b18291	b18291.raw	OC2116	A03	A	b18291	PICK1	PICK1	Y
b18293	b18293.raw	OC2116	A06	A	b18293	SHOX	SHOX	Y
b18294	b18294.raw	OC2116	A07	A	b18294	STRA8	STRA8	Y
b18295	b18295.raw	OC2116	A10	A	b18295	CARD16	CARD16	Y
b18299	b18299.raw	OC2116	B01	A	b18299	SLC5A1	SLC5A1	Y
b18302	b18302.raw	OC2116	B04	A	b18302	DEFB109	DEFB109	Y
b18303	b18303.raw	OC2116	B07	A	b18303	SPANXN2	SPANXN2	Y
b18304	b18304.raw	OC2116	B09	A	b18304	DEFB112	DEFB112	Y
b18305	b18305.raw	OC2116	B10	A	b18305	PREX2	PREX2	Y
b18306	b18306.raw	OC2116	B12	A	b18306	CAPN12	CAPN12	Y
b18309	b18309.raw	OC2116	C01	A	b18309	UBE2L3	UBE2L3	Y
b18310	b18310.raw	OC2116	C02	A	b18310	SNRPD3	SNRPD3	Y
b18311	b18311.raw	OC2116	C03	A	b18311	SEZ6L	SEZ6L	Y
b18312	b18312.raw	OC2116	C04	A	b18312	FAM150B	FAM150B	Y
b18313	b18313.raw	OC2116	C05	A	b18313	ESCO2	ESCO2	Y
b18314	b18314.raw	OC2116	C06	A	b18314	IGFBPL1	IGFBPL1	Y
b18315	b18315.raw	OC2116	C07	A	b18315	HSF4	HSF4	Y
b18317	b18317.raw	OC2116	C09	A	b18317	CLCA1	CLCA1	Y
b18319	b18319.raw	OC2116	C12	A	b18319	FOLR3	FOLR3	Y
b18369	b18369.raw	OC2116	D01	A	b18369	PLA2G6	PLA2G6	Y
b18370	b18370.raw	OC2116	D02	A	b18370	AP1B1	AP1B1	Y
b18371	b18371.raw	OC2116	D03	A	b18371	TST	TST	Y
b18372	b18372.raw	OC2116	D04	A	b18372	ENPP3	ENPP3	Y
b18373	b18373.raw	OC2116	D05	A	b18373	SPRR2D	SPRR2D	Y
b18374	b18374.raw	OC2116	D06	A	b18374	AWAT2	AWAT2	Y
b18375	b18375.raw	OC2116	D07	A	b18375	GPR151	GPR151	Y
b18377	b18377.raw	OC2116	D11	A	b18377	HOXA7	HOXA7	Y
b18378	b18378.raw	OC2116	D12	A	b18378	XKRY2	XKRY2	Y
b18381	b18381.raw	OC2116	E02	A	b18381	YWHAH	YWHAH	Y
b18383	b18383.raw	OC2116	E04	A	b18383	CDCP2	CDCP2	Y
b18384	b18384.raw	OC2116	E05	A	b18384	SLC5A4	SLC5A4	Y
b18386	b18386.raw	OC2116	E07	A	b18386	GUCA2A	GUCA2A	Y
b18387	b18387.raw	OC2116	E08	A	b18387	PROL1	PROL1	Y
b18389	b18389.raw	OC2116	E10	A	b18389	GJA10	GJA10	Y
b18390	b18390.raw	OC2116	E12	A	b18390	TAS1R2	TAS1R2	Y
b18394	b18394.raw	OC2116	F02	A	b18394	RFPL1	RFPL1	Y
b18396	b18396.raw	OC2116	F07	A	b18396	CNGA1	CNGA1	Y
b18397	b18397.raw	OC2116	F08	A	b18397	LIFR	LIFR	Y
b18404	b18404.raw	OC2116	G03	A	b18404	CUX2	CUX2	Y
b18405	b18405.raw	OC2116	G05	A	b18405	MYEOV2	MYEOV2	Y
b18406	b18406.raw	OC2116	G06	A	b18406	SSX7	SSX7	Y
b18407	b18407.raw	OC2116	G07	A	b18407	SPINK14	SPINK14	Y
b18409	b18409.raw	OC2116	G11	A	b18409	NLRP5	NLRP5	Y
b18414	b18414.raw	OC2116	H03	A	b18414	OR4N2	OR4N2	Y
b18415	b18415.raw	OC2116	H04	A	b18415	VPS9D1	VPS9D1	Y
b18416	b18416.raw	OC2116	H06	A	b18416	UGT1A5	UGT1A5	Y
b18418	b18418.raw	OC2116	H08	A	b18418	OR4E2	OR4E2	Y
b18419	b18419.raw	OC2116	H09	A	b18419	B3GNT7	B3GNT7	Y
b18420	b18420.raw	OC2116	H10	A	b18420	GALP	GALP	Y
b18564	b18564.raw	OC2119	A02	A	b18564	FAM178A	FAM178A	Y
b18565	b18565.raw	OC2119	A03	A	b18565	LPIN2	LPIN2	Y
b18566	b18566.raw	OC2119	A04	A	b18566	ZFP1	ZFP1	Y
b18567	b18567.raw	OC2119	A05	A	b18567	HOXA4	HOXA4	Y
b18568	b18568.raw	OC2119	A06	A	b18568	GLCE	GLCE	Y
b18576	b18576.raw	OC2119	A09	C	b18576	CRISP1	CRISP1	Y
b18577	b18577.raw	OC2119	A10	C	b18577	SPAG11B	SPAG11B	Y
b18578	b18578.raw	OC2119	A11	A	b18578	DCDC1	DCDC1	Y
b18595	b18595.raw	OC2119	B05	A	b18595	TEX13B	TEX13B	Y
b18596	b18596.raw	OC2119	B06	A	b18596	TTC39A	TTC39A	Y
b18597	b18597.raw	OC2119	B07	A	b18597	CRLF2	CRLF2	Y
b18598	b18598.raw	OC2119	B08	A	b18598	MATN1	MATN1	Y
b18600	b18600.raw	OC2119	B11	A	b18600	FBXW9	FBXW9	Y
b18601	b18601.raw	OC2119	B12	A	b18601	BMP6	BMP6	Y
b18640	b18640.raw	OC2119	C01	A	b18640	SLC45A4	SLC45A4	Y
b18641	b18641.raw	OC2119	C02	A	b18641	LEPR	LEPR	Y
b18642	b18642.raw	OC2119	C03	A	b18642	EIF2C4	EIF2C4	Y
b18643	b18643.raw	OC2119	C05	A	b18643	C1QL3	C1QL3	Y
b18644	b18644.raw	OC2119	C07	A	b18644	ZFP42	ZFP42	Y
b18645	b18645.raw	OC2119	C08	A	b18645	KLRC3	KLRC3	Y
b18647	b18647.raw	OC2119	C10	A	b18647	ANKS4B	ANKS4B	Y
b18649	b18649.raw	OC2119	C12	A	b18649	LHB	LHB	Y
b18652	b18652.raw	OC2119	D01	A	b18652	EXOC6B	EXOC6B	Y
b18653	b18653.raw	OC2119	D02	A	b18653	KIAA0226	KIAA0226	Y
b18654	b18654.raw	OC2119	D03	A	b18654	RUNX2	RUNX2	Y
b18655	b18655.raw	OC2119	D05	A	b18655	TCF15	TCF15	Y
b18656	b18656.raw	OC2119	D06	A	b18656	ZNF492	ZNF492	Y
b18657	b18657.raw	OC2119	D07	A	b18657	AS3MT	AS3MT	Y
b18658	b18658.raw	OC2119	D08	A	b18658	HPR	HPR	Y
b18659	b18659.raw	OC2119	D09	A	b18659	LBX2	LBX2	Y
b18660	b18660.raw	OC2119	D10	A	b18660	TAS2R39	TAS2R39	Y
b18662	b18662.raw	OC2119	D12	A	b18662	C16orf55	C16orf55	Y
b18665	b18665.raw	OC2119	F01	A	b18665	GBX1	GBX1	Y
b18666	b18666.raw	OC2119	F02	A	b18666	PRKD1	PRKD1	Y
b18671	b18671.raw	OC2119	F03	A	b18671	PKMYT1	PKMYT1	Y
b18672	b18672.raw	OC2119	F04	A	b18672	TAL1	TAL1	Y
b18673	b18673.raw	OC2119	F05	A	b18673	CCNO	CCNO	Y
b18674	b18674.raw	OC2119	F06	A	b18674	TSHZ2	TSHZ2	Y
b18675	b18675.raw	OC2119	F08	A	b18675	NPVF	NPVF	Y
b18676	b18676.raw	OC2119	F09	A	b18676	NAA11	NAA11	Y
b18677	b18677.raw	OC2119	F10	A	b18677	UBXN7	UBXN7	Y
b18678	b18678.raw	OC2119	F11	A	b18678	FMNL3	FMNL3	Y
b18696	b18696.raw	OC2119	H11	A	b18696	ERCC4	ERCC4	Y
B20854	B20854.raw	REPEAT15	A02	A	B20854	KRT34	KRT34	Y
B20855	B20855.raw	REPEAT15	A03	A	B20855	TSPAN10	TSPAN10	Y
B20857	B20857.raw	REPEAT15	A06	A	B20857	RPEL1	RPEL1	Y
B20859	B20859.raw	REPEAT15	A09	A	B20859	CCT8L2	CCT8L2	Y
B20860	B20860.raw	REPEAT15	A10	A	B20860	BANF2	BANF2	Y
B20861	B20861.raw	REPEAT15	A11	A	B20861	GPR160	GPR160	Y
B20862	B20862.raw	REPEAT15	B02	A	B20862	KCNIP1	KCNIP1	Y
B20865	B20865.raw	REPEAT15	B05	A	B20865	PRKY	PRKY	Y
B20866	B20866.raw	REPEAT15	B06	A	B20866	STARD5	STARD5	Y
B20869	B20869.raw	REPEAT15	B09	A	B20869	LHFPL1	LHFPL1	Y
B20870	B20870.raw	REPEAT15	B10	A	B20870	OR52B2	OR52B2	Y
B20871	B20871.raw	REPEAT15	B11	A	B20871	PRR4	PRR4	Y
B20872	B20872.raw	REPEAT15	B12	A	B20872	FAM81A	FAM81A	Y
B20875	B20875.raw	REPEAT15	C04	A	B20875	OR14J1	OR14J1	Y
B20876	B20876.raw	REPEAT15	C05	A	B20876	LMOD3	LMOD3	Y
B20877	B20877.raw	REPEAT15	C06	A	B20877	OR6T1	OR6T1	Y
B20879	B20879.raw	REPEAT15	C09	A	B20879	CHRNA7	CHRNA7	Y
B20881	B20881.raw	REPEAT15	C12	A	B20881	LIN52	LIN52	Y
B20882	B20882.raw	REPEAT15	D02	A	B20882	CTXN1	CTXN1	Y
B20883	B20883.raw	REPEAT15	D03	A	B20883	LGI1	LGI1	Y
B20885	B20885.raw	REPEAT15	D05	A	B20885	OR2T33	OR2T33	Y
B20888	B20888.raw	REPEAT15	D08	A	B20888	PIP5K1B	PIP5K1B	Y
B20889	B20889.raw	REPEAT15	D09	A	B20889	OR14I1	OR14I1	Y
B20890	B20890.raw	REPEAT15	D10	A	B20890	GMCL1L	GMCL1L	Y
B20892	B20892.raw	REPEAT15	D12	A	B20892	FAM27E3	FAM27E3	Y
B20893	B20893.raw	REPEAT15	E02	A	B20893	MAFB	MAFB	Y
B20894	B20894.raw	REPEAT15	E03	A	B20894	TCEA1	TCEA1	Y
B20896	B20896.raw	REPEAT15	E05	A	B20896	C11orf10	C11orf10	Y
B20897	B20897.raw	REPEAT15	E07	A	B20897	C6orf94	C6orf94	Y
B20898	B20898.raw	REPEAT15	E08	A	B20898	ATP5L2	ATP5L2	Y
B20903	B20903.raw	REPEAT15	F02	A	B20903	CACNG1	CACNG1	Y
B20904	B20904.raw	REPEAT15	F03	A	B20904	OR1M1	OR1M1	Y
B20905	B20905.raw	REPEAT15	F04	A	B20905	DPF1	DPF1	Y
B20906	B20906.raw	REPEAT15	F05	A	B20906	OR2M7	OR2M7	Y
B20907	B20907.raw	REPEAT15	F06	A	B20907	PTX3	PTX3	Y
B20908	B20908.raw	REPEAT15	F08	A	B20908	PPCS	PPCS	Y
B20909	B20909.raw	REPEAT15	F09	A	B20909	UFSP1	UFSP1	Y
B20911	B20911.raw	REPEAT15	F11	A	B20911	KLRC2	KLRC2	Y
B20913	B20913.raw	REPEAT15	G03	A	B20913	ADPRHL2	ADPRHL2	Y
B20915	B20915.raw	REPEAT15	G05	A	B20915	DUXAP10	DUXAP10	Y
B20916	B20916.raw	REPEAT15	G07	A	B20916	NEUROD4	NEUROD4	Y
B20917	B20917.raw	REPEAT15	G08	A	B20917	OR4N4	OR4N4	Y
B20918	B20918.raw	REPEAT15	G09	A	B20918	OR8A1	OR8A1	Y
B20920	B20920.raw	REPEAT15	G11	A	B20920	CHRM5	CHRM5	Y
B20922	B20922.raw	REPEAT15	H02	A	B20922	LRRC37A2	LRRC37A2	Y
B20924	B20924.raw	REPEAT15	H04	A	B20924	KLRK1	KLRK1	Y
B20925	B20925.raw	REPEAT15	H05	A	B20925	OR11H12	OR11H12	Y
B20926	B20926.raw	REPEAT15	H06	A	B20926	CAB39	CAB39	Y
B20930	B20930.raw	REPEAT15	H10	A	B20930	OR51B5	OR51B5	Y
B20931	B20931.raw	REPEAT15	H11	A	B20931	RXRB	RXRB	Y
b3139	b3139.raw	71PEI2	A09	B	b3139	LMX1B	LMX1B	Y
b3140	b3140.raw	71PEI2	A08	B	b3140	ZDHHC9	ZDHHC9	Y
b3141	b3141.raw	71PEI2	A07	B	b3141	USP46	USP46	Y
b3142	b3142.raw	71PEI2	A06	B	b3142	INHA	INHA	Y
b3143	b3143.raw	71PEI2	A05	B	b3143	RIC3	RIC3	Y
b3144	b3144.raw	71PEI2	A04	B	b3144	MAB21L3	MAB21L3	Y
b3147	b3147.raw	71PEI2	A01	B	b3147	PSRC1	PSRC1	Y
b3154	b3154.raw	71PEI2	C08	B	b3154	POPDC2	POPDC2	Y
b3157	b3157.raw	71PEI2	C05	B	b3157	TSSK1B	TSSK1B	Y
b3158	b3158.raw	71PEI2	C04	B	b3158	CXCR7	CXCR7	Y
b3165	b3165.raw	71PEI2	E11	B	b3165	RAE1	RAE1	Y
b3168	b3168.raw	71PEI2	E05	B	b3168	NXF5	NXF5	Y
b3169	b3169.raw	71PEI2	E03	B	b3169	CDCA7	CDCA7	Y
b3170	b3170.raw	71PEI2	E01	B	b3170	FKSG43	FKSG43	Y
b3194	b3194.raw	71PEI2	B04	B	b3194	NHLRC2	NHLRC2	Y
b3197	b3197.raw	71PEI2	G11	B	b3197	EBNA1BP2	EBNA1BP2	Y
b3200	b3200.raw	71PEI2	G05	B	b3200	C20orf96	C20orf96	Y
b3201	b3201.raw	71PEI2	G03	B	b3201	HTR1E	HTR1E	Y
b3207	b3207.raw	71PEI2	G03	A	b3207	HTR1E	HTR1E	Y
b3208	b3208.raw	71PEI2	G05	A	b3208	C20orf96	C20orf96	Y
b3212	b3212.raw	71PEI2	G11	A	b3212	EBNA1BP2	EBNA1BP2	Y
b3532	b3532.raw	81059PEI	A11	B	b3532	C7orf46	C7orf46	Y
b3535	b3535.raw	81059PEI	A07	B	b3535	NIT2	NIT2	Y
b3536	b3536.raw	81059PEI	A06	B	b3536	SNAI3	SNAI3	Y
b3539	b3539.raw	81059PEI	A03	B	b3539	CNOT7	CNOT7	Y
b3541	b3541.raw	81059PEI	A01	B	b3541	STX5	STX5	Y
b3563	b3563.raw	81059PEI	F12	B	b3563	VDAC2	VDAC2	Y
b3564	b3564.raw	81059PEI	F11	B	b3564	TRAPPC10	TRAPPC10	Y
b3566	b3566.raw	81059PEI	F09	B	b3566	RPRD1A	RPRD1A	Y
b3568	b3568.raw	81059PEI	F07	B	b3568	TNFSF13B	TNFSF13B	Y
b3569	b3569.raw	81059PEI	F06	B	b3569	PTCRA	PTCRA	Y
b3570	b3570.raw	81059PEI	F05	B	b3570	SPATS1	SPATS1	Y
b3572	b3572.raw	81059PEI	F03	B	b3572	CSGALNACT1	CSGALNACT1	Y
b3573	b3573.raw	81059PEI	F02	B	b3573	CEBPE	CEBPE	Y
b3579	b3579.raw	81059PEI	E11	B	b3579	CTSZ	CTSZ	Y
b3580	b3580.raw	81059PEI	E10	B	b3580	STARD10	STARD10	Y
b3581	b3581.raw	81059PEI	E09	B	b3581	C15orf29	C15orf29	Y
b3582	b3582.raw	81059PEI	E08	B	b3582	FBXO6	FBXO6	Y
b3585	b3585.raw	81059PEI	E04	B	b3585	CAPZA2	CAPZA2	Y
b3586	b3586.raw	81059PEI	E03	B	b3586	AMMECR1	AMMECR1	Y
b3587	b3587.raw	81059PEI	E02	B	b3587	CCDC121	CCDC121	Y
b3591	b3591.raw	81059PEI	G11	B	b3591	SYNE2	SYNE2	Y
b3592	b3592.raw	81059PEI	G10	B	b3592	EFCAB4A	EFCAB4A	Y
b3594	b3594.raw	81059PEI	G08	B	b3594	CCNE2	CCNE2	Y
b3595	b3595.raw	81059PEI	G07	B	b3595	IYD	IYD	Y
b3596	b3596.raw	81059PEI	G06	B	b3596	RAB40AL	RAB40AL	Y
b3599	b3599.raw	81059PEI	G03	B	b3599	FAM175A	FAM175A	Y
b3604	b3604.raw	81059PEI	B12	B	b3604	ITGA4	ITGA4	Y
b3605	b3605.raw	81059PEI	B11	B	b3605	RASSF6	RASSF6	Y
b3606	b3606.raw	81059PEI	B10	B	b3606	WDR92	WDR92	Y
b3607	b3607.raw	81059PEI	B09	B	b3607	CCDC146	CCDC146	Y
b3608	b3608.raw	81059PEI	B08	B	b3608	POPDC3	POPDC3	Y
b3609	b3609.raw	81059PEI	B07	B	b3609	ZNF277	ZNF277	Y
b3613	b3613.raw	81059PEI	B03	B	b3613	SETD3	SETD3	Y
b3614	b3614.raw	81059PEI	B02	B	b3614	NOSIP	NOSIP	Y
b3615	b3615.raw	81059PEI	B01	B	b3615	CNN1	CNN1	Y
b3624	b3624.raw	81059PEI	H11	B	b3624	EXOSC8	EXOSC8	Y
b3625	b3625.raw	81059PEI	H10	B	b3625	EDA2R	EDA2R	Y
b3626	b3626.raw	81059PEI	H09	B	b3626	XRCC2	XRCC2	Y
b3628	b3628.raw	81059PEI	H07	B	b3628	SGCD	SGCD	Y
b3629	b3629.raw	81059PEI	H06	B	b3629	COLEC10	COLEC10	Y
b3630	b3630.raw	81059PEI	H04	B	b3630	F3	F3	Y
b3631	b3631.raw	81059PEI	H03	B	b3631	KIAA0247	KIAA0247	Y
b3632	b3632.raw	81059PEI	H02	B	b3632	PPAP2A	PPAP2A	Y
b3637	b3637.raw	81059PEI	D12	B	b3637	TBC1D3F	TBC1D3F	Y
b3638	b3638.raw	81059PEI	D10	B	b3638	FBXO25	FBXO25	Y
b3639	b3639.raw	81059PEI	D09	B	b3639	CXorf21	CXorf21	Y
b3640	b3640.raw	81059PEI	D08	B	b3640	GTDC1	GTDC1	Y
b3643	b3643.raw	81059PEI	D02	B	b3643	ODF3L1	ODF3L1	Y
b3653	b3653.raw	81059PEI	D11	B	b3653	C3orf32	C3orf32	Y
b3654	b3654.raw	81059PEI	D05	B	b3654	GLYATL1	GLYATL1	Y
b3656	b3656.raw	81059PEI	C09	B	b3656	HSD17B11	HSD17B11	Y
b3657	b3657.raw	81059PEI	C07	B	b3657	MRPL46	MRPL46	Y
b3658	b3658.raw	81059PEI	C01	B	b3658	ZC3H8	ZC3H8	Y
b3669	b3669.raw	81059PEI	C11	B	b3669	DHRS2	DHRS2	Y
b3670	b3670.raw	81059PEI	C10	B	b3670	C19orf46	C19orf46	Y
b3671	b3671.raw	81059PEI	C08	B	b3671	HNMT	HNMT	Y
b3673	b3673.raw	81059PEI	C05	B	b3673	GGPS1	GGPS1	Y
b3674	b3674.raw	81059PEI	C04	B	b3674	LDB3	LDB3	Y
b3676	b3676.raw	81059PEI	C02	B	b3676	GK5	GK5	Y
b3799	b3799.raw	81059PEI	D04	B	b3799	CLN8	CLN8	Y
b3800	b3800.raw	81059PEI	D03	B	b3800	ELOVL2	ELOVL2	Y
b3801	b3801.raw	81059PEI	D11	A	b3801	C3orf32	C3orf32	Y
b5698	b5698.raw	81067	B12	B	b5698	FBXL3	FBXL3	Y
b5701	b5701.raw	81067	B09	B	b5701	KIAA1949	KIAA1949	Y
b5702	b5702.raw	81067	B08	B	b5702	SLC39A4	SLC39A4	Y
b5703	b5703.raw	81067	B07	B	b5703	RBPJ	RBPJ	Y
b5707	b5707.raw	81067	B03	B	b5707	CXADR	CXADR	Y
b5708	b5708.raw	81067	B02	B	b5708	SDF4	SDF4	Y
b5709	b5709.raw	81067	B01	B	b5709	OBFC1	OBFC1	Y
b5714	b5714.raw	81067	H10	B	b5714	PVRL3	PVRL3	Y
b5716	b5716.raw	81067	H08	B	b5716	SERPINA6	SERPINA6	Y
b5717	b5717.raw	81067	H07	B	b5717	DNM3	DNM3	Y
b5718	b5718.raw	81067	H06	B	b5718	NUP50	NUP50	Y
b5719	b5719.raw	81067	H05	B	b5719	CD244	CD244	Y
b5720	b5720.raw	81067	H04	B	b5720	C9orf156	C9orf156	Y
b5721	b5721.raw	81067	H03	B	b5721	SMPD1	SMPD1	Y
