sample_id	raw_file_name	plate	well	replicate_letter	ip_name	bait_name	replicate_group	keep
b9381	b9381.raw	81110	D04	A	b9381	GFPT2	GFPT2	Y
b9382	b9382.raw	81110	D05	A	b9382	FBXL5	FBXL5	Y
b9383	b9383.raw	81110	D06	A	b9383	FBXO30	FBXO30	Y
b9384	b9384.raw	81110	D07	A	b9384	HSPA9	HSPA9	Y
b9386	b9386.raw	81110	D10	A	b9386	LCA5L	LCA5L	Y
b9387	b9387.raw	81110	D11	A	b9387	PCDHA10	PCDHA10	Y
b9388	b9388.raw	81110	D12	A	b9388	PRKCA	PRKCA	Y
b9391	b9391.raw	81110	C12	B	b9391	ABCG8	ABCG8	Y
b9392	b9392.raw	81110	C11	B	b9392	DNA2	DNA2	Y
b9393	b9393.raw	81110	C09	B	b9393	DBF4	DBF4	Y
b9394	b9394.raw	81110	C05	B	b9394	HBS1L	HBS1L	Y
b9395	b9395.raw	81110	C04	B	b9395	BBS7	BBS7	Y
b9396	b9396.raw	81110	C03	B	b9396	SLC20A1	SLC20A1	Y
b9401	b9401.raw	81110	E12	B	b9401	CAPN13	CAPN13	Y
b9402	b9402.raw	81110	E11	B	b9402	TRPM8	TRPM8	Y
b9403	b9403.raw	81110	E10	B	b9403	KIF2A	KIF2A	Y
b9404	b9404.raw	81110	E09	B	b9404	DDX31	DDX31	Y
b9405	b9405.raw	81110	E08	B	b9405	PRKG1	PRKG1	Y
b9406	b9406.raw	81110	E06	B	b9406	RHPN1	RHPN1	Y
b9407	b9407.raw	81110	E02	B	b9407	POLR3E	POLR3E	Y
b9408	b9408.raw	81110	E01	B	b9408	ACOX2	ACOX2	Y
b9443	b9443.raw	81110	F12	B	b9443	GIMAP8	GIMAP8	Y
b9445	b9445.raw	81110	F10	B	b9445	LRRC45	LRRC45	Y
b9446	b9446.raw	81110	F09	B	b9446	SLC25A13	SLC25A13	Y
b9447	b9447.raw	81110	F08	B	b9447	ESRP1	ESRP1	Y
b9481	b9481.raw	81045PEI	E10	C	b9481	CSN2	CSN2	Y
b9482	b9482.raw	81045PEI	E07	C	b9482	PRG3	PRG3	Y
b9484	b9484.raw	81045PEI	E05	C	b9484	SPATA12	SPATA12	Y
b9486	b9486.raw	81045PEI	E03	C	b9486	DKK4	DKK4	Y
b9487	b9487.raw	81045PEI	F02	C	b9487	SCN3B	SCN3B	Y
b9647	b9647.raw	81110	G05	B	b9647	SCFD2	SCFD2	Y
b9958	b9958.raw	81110	C09	C	b9958	DBF4	DBF4	Y
b9959	b9959.raw	81110	E06	C	b9959	RHPN1	RHPN1	Y
b9960	b9960.raw	81110	E08	C	b9960	PRKG1	PRKG1	Y
b9962	b9962.raw	81110	F05	A	b9962	ANXA6	ANXA6	Y
j10274	j10274.raw	81045PEI	A01	A	j10274	ZNF428	ZNF428	Y
j10275	j10275.raw	81045PEI	A02	A	j10275	RAB28	RAB28	Y
j10277	j10277.raw	81045PEI	A04	A	j10277	EXOG	EXOG	Y
j10279	j10279.raw	81045PEI	A07	A	j10279	LIM2	LIM2	Y
j10280	j10280.raw	81045PEI	A09	A	j10280	TM2D2	TM2D2	Y
j10281	j10281.raw	81045PEI	A10	A	j10281	PRR20A	PRR20A	Y
j10282	j10282.raw	81045PEI	A11	A	j10282	UBAC2	UBAC2	Y
j10286	j10286.raw	81045PEI	E01	A	j10286	NKAIN4	NKAIN4	Y
j10287	j10287.raw	81045PEI	E02	A	j10287	PRR16	PRR16	Y
j10288	j10288.raw	81045PEI	E03	A	j10288	DKK4	DKK4	Y
j10290	j10290.raw	81045PEI	E05	A	j10290	SPATA12	SPATA12	Y
j10292	j10292.raw	81045PEI	E07	A	j10292	PRG3	PRG3	Y
j10293	j10293.raw	81045PEI	E08	A	j10293	CRYBB3	CRYBB3	Y
j10294	j10294.raw	81045PEI	E09	A	j10294	HIST1H1E	HIST1H1E	Y
j10295	j10295.raw	81045PEI	E10	A	j10295	CSN2	CSN2	Y
j10296	j10296.raw	81045PEI	E11	A	j10296	OAZ3	OAZ3	Y
j10300	j10300.raw	81045PEI	C12	B	j10300	MAU2	MAU2	Y
j10302	j10302.raw	81045PEI	C10	B	j10302	CRP	CRP	Y
j10303	j10303.raw	81045PEI	C09	B	j10303	MOBKL2C	MOBKL2C	Y
j10304	j10304.raw	81045PEI	C08	B	j10304	TNNI3	TNNI3	Y
j10306	j10306.raw	81045PEI	C05	B	j10306	IFNA4	IFNA4	Y
j10307	j10307.raw	81045PEI	C04	B	j10307	TTLL9	TTLL9	Y
j10309	j10309.raw	81045PEI	C02	B	j10309	SOCS3	SOCS3	Y
j10310	j10310.raw	81045PEI	C01	B	j10310	RAB15	RAB15	Y
j10313	j10313.raw	81045PEI	F11	B	j10313	CNTF	CNTF	Y
j10314	j10314.raw	81045PEI	F10	B	j10314	SULT1C4	SULT1C4	Y
j10315	j10315.raw	81045PEI	F09	B	j10315	ARHGEF38	ARHGEF38	Y
j10316	j10316.raw	81045PEI	F08	B	j10316	BAG2	BAG2	Y
j10317	j10317.raw	81045PEI	F07	B	j10317	BCL7A	BCL7A	Y
j10318	j10318.raw	81045PEI	F06	B	j10318	IL29	IL29	Y
j10319	j10319.raw	81045PEI	F05	B	j10319	C9orf139	C9orf139	Y
j10320	j10320.raw	81045PEI	F04	B	j10320	HTR3D	HTR3D	Y
j10327	j10327.raw	81045PEI	B12	B	j10327	NEK2	NEK2	Y
j10328	j10328.raw	81045PEI	B11	B	j10328	IL22RA2	IL22RA2	Y
j10330	j10330.raw	81045PEI	B09	B	j10330	RAB5C	RAB5C	Y
j10331	j10331.raw	81045PEI	B08	B	j10331	DTD1	DTD1	Y
j10332	j10332.raw	81045PEI	B07	B	j10332	RAB41	RAB41	Y
j10333	j10333.raw	81045PEI	B06	B	j10333	IFNW1	IFNW1	Y
j10334	j10334.raw	81045PEI	B04	B	j10334	TMEM182	TMEM182	Y
j10335	j10335.raw	81045PEI	B03	B	j10335	RIT1	RIT1	Y
j10336	j10336.raw	81045PEI	B02	B	j10336	GJB7	GJB7	Y
j10337	j10337.raw	81045PEI	B01	B	j10337	YAF2	YAF2	Y
j10342	j10342.raw	81045PEI	G03	A	j10342	C12orf69	C12orf69	Y
j10343	j10343.raw	81045PEI	G04	A	j10343	SYNGR4	SYNGR4	Y
j10344	j10344.raw	81045PEI	G07	A	j10344	OFCC1	OFCC1	Y
j10345	j10345.raw	81045PEI	G10	A	j10345	ASB14	ASB14	Y
j10363	j10363.raw	81045PEI	H11	B	j10363	REEP1	REEP1	Y
j10364	j10364.raw	81045PEI	H10	B	j10364	C19orf39	C19orf39	Y
j10365	j10365.raw	81045PEI	H09	B	j10365	C18orf21	C18orf21	Y
j10366	j10366.raw	81045PEI	H08	B	j10366	C3orf43	C3orf43	Y
j10367	j10367.raw	81045PEI	H07	B	j10367	C9orf106	C9orf106	Y
j10368	j10368.raw	81045PEI	H05	B	j10368	BCL2L2	BCL2L2	Y
j10369	j10369.raw	81045PEI	H04	B	j10369	TICAM2	TICAM2	Y
j10370	j10370.raw	81045PEI	H03	B	j10370	CD79A	CD79A	Y
j10371	j10371.raw	81045PEI	H02	B	j10371	C11orf85	C11orf85	Y
j10382	j10382.raw	81094	A01	A	j10382	CRISPLD1	CRISPLD1	Y
j10383	j10383.raw	81094	A02	A	j10383	TRAF2	TRAF2	Y
j10384	j10384.raw	81094	A03	A	j10384	INTS4	INTS4	Y
j10385	j10385.raw	81094	A04	A	j10385	DHX30	DHX30	Y
j10386	j10386.raw	81094	A05	A	j10386	PLB1	PLB1	Y
j10387	j10387.raw	81094	A06	A	j10387	ANGPT2	ANGPT2	Y
